translation_id,attribute,local_count,other_count,log_odds_ratio,z_score
butler_1900,hopeful,0.0,2.0,0.4054470171181146,0.26245850348867067
butler_1900,sagacious,0.0,2.0,0.4054470171181146,0.26245850348867067
butler_1900,terrified,0.0,2.0,0.4054470171181146,0.26245850348867067
butler_1900,treacherous,0.0,2.0,0.4054470171181146,0.26245850348867067
butler_1900,glowing,1.0,9.0,0.17303676796285306,0.1978982783132139
butler_1900,subtle,1.0,9.0,0.17303676796285306,0.1978982783132139
butler_1900,glittering,2.0,16.0,0.13264798651338072,0.1964729941786484
butler_1900,happy,7.0,53.0,0.05625697213824665,0.1451285752261823
butler_1900,tall,7.0,54.0,0.0378654139343757,0.09780378748331586
butler_1900,endless,1.0,10.0,0.07395219777803508,0.08517677337756324
butler_1900,brown,0.0,3.0,0.07204756606398366,0.047864011961286944
butler_1900,senseless,0.0,3.0,0.07204756606398366,0.047864011961286944
butler_1900,strong,19.0,147.0,-0.0018669591590025902,-0.007796475815007832
butler_1900,dim,1.0,11.0,-0.016023300868429402,-0.018566246002226595
butler_1900,silver,12.0,95.0,-0.011845227163202132,-0.039629061374937394
butler_1900,lawless,3.0,27.0,-0.039798962871667065,-0.07057107318258872
butler_1900,fair-haired,1.0,12.0,-0.09841089349098997,-0.11461948760496106
butler_1900,courageous,0.0,4.0,-0.1761630046512499,-0.1188783324126322
butler_1900,dark-haired,0.0,4.0,-0.1761630046512499,-0.1188783324126322
butler_1900,greedy,0.0,4.0,-0.1761630046512499,-0.1188783324126322
butler_1900,vermilion,0.0,4.0,-0.1761630046512499,-0.1188783324126322
butler_1900,wrathful,0.0,4.0,-0.1761630046512499,-0.1188783324126322
butler_1900,crafty,3.0,29.0,-0.1092521459343132,-0.1945587607810468
butler_1900,violet,0.0,5.0,-0.37372142916440154,-0.25492176164613317
butler_1900,ashen,1.0,14.0,-0.2448487466133633,-0.2876115174421279
butler_1900,honest,1.0,15.0,-0.31055167590687205,-0.36609184600141265
butler_1900,aged,3.0,32.0,-0.20497935849706828,-0.3670825587026069
butler_1900,crimson,0.0,6.0,-0.5376635019639986,-0.3697091082535613
butler_1900,gleaming,0.0,6.0,-0.5376635019639986,-0.3697091082535613
